name,product_type,release_time,unit_price,note,processor,image_link,id
Burlington Walnut,Tile Flooring,12-Sep,1.29,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Burlington%20Walnut.png,1
Grey Matte Swirl,Tile Flooring,12-Sep,0.99,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Grey%20Matte%20Swirl.png,2
Light Grey,Tile Flooring,12-Sep,0.99,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Light%20Grey%20(New).png,3
Venato White,Tile Flooring,12-Sep,1.29,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Venato%20White%20(New).png,4
Timber Grey,Tile Flooring,12-Sep,1.19,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Timber%20Grey.png,5
Solid White Matte Tile,Tile Flooring,12-Sep,0.79,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Solid%20White%20Matet%20Tile.png,6
Wind River Beige,Tile Flooring,12-Sep,1.29,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Wind%20River%20Beige.png,7
White Matte,Tile Flooring,12-Sep,1.19,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/White%20Matte.png,8
Cayman Red,Tile Flooring,12-Sep,1.19,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Cayman%20Red.png,9
Painted Wood,Tile Flooring,12-Sep,1.19,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Painted%20Wood.png,10
Mica,Tile Flooring,12-Sep,1.19,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Mica.png,11
Sabine SPC,Luxury Vinyl,12-Sep,2.29,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Sabine%20SPC.png,12
Rochester SPC Flooring,Luxury Vinyl,12-Sep,2.29,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Rochester%20SPC%20Flooring.png,13
Sandalwood SPC Flooring,Luxury Vinyl,12-Sep,2.29,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Sandalwood%20SPC%20Flooring.png,14
Edinburgh SPC Flooring,Luxury Vinyl,12-Sep,2.29,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Edinburgh%20SPC%20Flooring.png,15
Paint-One Gallon,Paint,12-Sep,21.95,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Paint-One%20Gallon.png,16
Paint-Five Gallon,Paint,12-Sep,95.95,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Paint-Five%20Gallon.png,17
Spray Paint,Paint,12-Sep,3.95,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Spray%20Paint.png,18
Extension Pole,Paint,12-Sep,9.95,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Paint%20Stick.png,19
Carpet Tiles,Carpet,12-Sep,3.95,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Carpet%20Tiles.png,20
Rugs-8x10,Carpet,12-Sep,169.95,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Rugs-8x10.png,21
Rugs-6x9,Carpet,12-Sep,59.95,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Rugs-6x9.png,22
Rugs-5x8,Carpet,12-Sep,99.95,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Rugs-5x8.png,23
Surya Runners-2x3,Carpet,12-Sep,24.95,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Surya%20Runners-2x3.png,24
Surya Runners-8,Carpet,12-Sep,39.95,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Surya%20Runners-8%20ft.png,25
Surya Runners-10,Carpet,12-Sep,49.95,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Surya%20Runners-10%20ft.png,26
Surya Runners-12,Carpet,12-Sep,69.95,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Surya%20Runners-12%20ft.png,27
Superior Quality Rugs-24x36,Carpet,12-Sep,8.95,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Superior%20Quality%20Rugs-24x36.png,28
Superior Quality Rugs-24x72,Carpet,12-Sep,19.95,None.,ReStore-Tulsa,https://raw.githubusercontent.com/fantasticlion/ReStoreSigns/main/src/signs/Superior%20Quality%20Rugs-24x72.png,29
